"NAME","JOB_FAMILY","STATUS","DOMAIN","LOCALE"
"ADJUNTO DIRECTOR/A","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"ASESOR VIAJES","GESTOR","100","RACC Discovery","Spanish - es_ES"
"ADMINISTRATIVO/A","GESTOR","100","RACC Discovery","Spanish - es_ES"
"ASESOR VIAJES ATV","GESTOR","100","RACC Discovery","Spanish - es_ES"
"ASESOR VIAJES EMPRES","TECNICO","100","RACC Discovery","Spanish - es_ES"
"JEFE/A DEPARTAMENTO","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"JEFE/A DE AGENCIA","TECNICO","100","RACC Discovery","Spanish - es_ES"
"OPERADOR","GESTOR","100","RACC Discovery","Spanish - es_ES"
"ATENCION AL SOCIO","GESTOR","100","RACC Discovery","Spanish - es_ES"
"DIRECTOR","DIRECTOR","100","RACC Discovery","Spanish - es_ES"
"SUPERVISOR DELEG.","TECNICO","100","RACC Discovery","Spanish - es_ES"
"MANAGER","MANAGER","100","RACC Discovery","Spanish - es_ES"
"ASESOR JURIDICO","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"ASESOR","GESTOR","100","RACC Discovery","Spanish - es_ES"
"PM /T. MKT/EJ.C.","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"RESP. TERRITORIO","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"AUX. ADMINISTRAT.","GESTOR","100","RACC Discovery","Spanish - es_ES"
"ASESOR PUNTOS","GESTOR","100","RACC Discovery","Spanish - es_ES"
"TECNICO","TECNICO","100","RACC Discovery","Spanish - es_ES"
"RESP. BACK-OFFICE","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"TEC. COMUNICACION","TECNICO","100","RACC Discovery","Spanish - es_ES"
"RESP. DEPORTIVA","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"RESP. OPERACIONES","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"AUX. CONTABLE","GESTOR","100","RACC Discovery","Spanish - es_ES"
"TECNICO FINANCIERO","TECNICO","100","RACC Discovery","Spanish - es_ES"
"COORDINADORES","TECNICO","100","RACC Discovery","Spanish - es_ES"
"SUPERVISOR","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"MECANICO","TECNICO","100","RACC Discovery","Spanish - es_ES"
"COORDINADOR MECAN.","TECNICO","100","RACC Discovery","Spanish - es_ES"
"COORD.PROV./CALIDA","TECNICO","100","RACC Discovery","Spanish - es_ES"
"ASSISTANT DIR.","TECNICO","100","RACC Discovery","Spanish - es_ES"
"TEC. MTO","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"TECNICO RRHH","TECNICO","100","RACC Discovery","Spanish - es_ES"
"CONTABLE","TECNICO","100","RACC Discovery","Spanish - es_ES"
"RESP. CONTABILIDAD","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"COORD. OFICINA","TECNICO","100","RACC Discovery","Spanish - es_ES"
"CONSULTOR SR.","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"PM /T. MKT/EJ.C.","TECNICO","100","RACC Discovery","Spanish - es_ES"
"OPERADOR SR. CIAL","GESTOR","100","RACC Discovery","Spanish - es_ES"
"ANALISTA PROGRAMAD","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"PM/T. MKT/EJ.C.SR","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"PSICOLOGO","TECNICO","100","RACC Discovery","Spanish - es_ES"
"GESTOR GR. CUENTAS","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"TEC. MTO","TECNICO","100","RACC Discovery","Spanish - es_ES"
"TEC. SR. COMUNIC.","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"COORDINADORES","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"GESTOR AS.JURIDICA","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"MEDICO","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"MONITOR CIRCUIT","TECNICO","100","RACC Discovery","Spanish - es_ES"
"TECNICO VIAJES","TECNICO","100","RACC Discovery","Spanish - es_ES"
"DUI","TECNICO","100","RACC Discovery","Spanish - es_ES"
"COMERCIAL SR.","TECNICO","100","RACC Discovery","Spanish - es_ES"
"RESP. MEDIOS OPER.","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"CONTROLLER SR.","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"RESP. RRHH","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"TECNICO SR. RRHH","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"CONSULTOR","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"FORMADOR","TECNICO","100","RACC Discovery","Spanish - es_ES"
"RESP. PROVEEDORES","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"GENERICO RACC","GENERICO","100","RACC Discovery","Spanish - es_ES"
"OPERARIO ESP.","GESTOR","100","RACC Discovery","Spanish - es_ES"
"FORMADOR AUTOESCUELA","TECNICO","100","RACC Discovery","Spanish - es_ES"
"ANALISTA SI","RESP./ESPECIALISTA","100","RACC Discovery","Spanish - es_ES"
"LOCUTOR INFOTRANSI","TECNICO","100","RACC Discovery","Spanish - es_ES"
"VENDEDOR","GESTOR","100","RACC Discovery","Spanish - es_ES"
"PM/T. MKT/EJ.C.SR","TECNICO","100","RACC Discovery","Spanish - es_ES"
"BECARIO","GENERICO","100","RACC Discovery","Spanish - es_ES"
